  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
2003 236   16.78   22.18   20.44   24.21   22.45   23.02
2003 237   16.80   22.19   20.17   24.06   22.16   22.77
2003 238   16.61   22.21   20.03   24.05   21.83   23.12
2003 239   16.30   22.02   19.74   23.92   21.43   23.29
2003 240   15.74   21.69   19.35   23.79   21.11   23.23
2003 241   15.06   21.44   19.02   23.64   20.99   23.19
2003 242   14.72   21.25   18.76   23.47   20.83   22.98
2003 243   14.65   21.02   18.61   23.27   20.73   22.51
2003 244   14.71   20.86   18.58   22.91   20.67   21.92
2003 245   14.75   20.85   18.67   22.52   20.52   21.56
2003 246   14.55   20.72   18.62   22.36   20.48   21.52
2003 247   14.35   20.43   18.40   22.14   20.42   21.47
2003 248   14.35   20.20   18.20   21.90   20.32   21.22
2003 249   14.50   20.09   18.07   21.80   20.29   21.02
2003 250   14.69   20.19   18.14   21.77   20.21   21.09
2003 251   14.94   20.37   18.31   21.84   20.23   21.32
2003 252   15.24   20.49   18.45   21.93   20.23   21.53
2003 253   15.23   20.49   18.53   21.90   20.27   21.49
2003 254   14.93   20.38   18.66   21.85   20.27   21.51
2003 255   14.82   20.32   18.68   21.78   20.26   21.60
2003 256   14.86   20.19   18.64   21.59   20.17   21.60
2003 257   14.90   19.98   18.56   21.40   20.11   21.54
2003 258   14.98   19.77   18.54   21.60   20.09   21.55
2003 259   15.12   19.65   18.54   21.70   20.06   21.59
2003 260   15.15   19.55   18.55   21.69   20.03   21.54
2003 261   15.01   19.33   18.46   21.57   19.80   21.29
2003 262   14.43   19.07   18.21   21.31   18.99   20.73
2003 263   13.49   18.69   17.77   20.93   17.85   20.19
2003 264   13.21   18.52   17.38   20.70   16.81   19.90
2003 265   13.05   18.22   17.20   20.46   16.70   19.39
2003 266   12.61   17.78   16.99   20.08   17.29   18.80
2003 267   12.31   17.32   16.65   19.82   17.51   18.33
2003 268   12.13   16.99   16.36   19.56   17.50   17.83
2003 269   11.75   16.67   16.04   19.28   17.44   17.42
2003 270   10.90   15.92   15.43   18.95   17.17   16.87
2003 271   10.25   15.08   14.79   18.46   16.71   16.29
2003 272    9.89   14.53   14.28   17.99   16.39   15.83
2003 273    9.70   14.14   13.71   17.59   16.05   15.30
2003 274    9.43   13.69   13.09   16.95   15.32   14.54
2003 275    9.30   13.31   12.64   16.38   14.40   13.65
2003 276    9.22   13.01   12.21   16.02   13.63   12.97
2003 277    9.14   12.79   11.92   15.71   12.93   12.41
2003 278    9.10   12.66   11.75   15.51   12.47   11.95
2003 279    9.17   12.66   11.71   15.47   12.38   11.81
2003 280    9.45   12.77   11.82   15.53   12.56   12.05
2003 281    9.81   12.97   12.03   15.49   12.85   12.54
2003 282    9.85   13.01   12.18   15.58   13.10   12.96
2003 283    9.73   12.98   12.38   15.88   13.31   13.54
2003 284    9.63   12.98   12.60   16.04   13.48   13.92
2003 285    9.41   12.92   12.47   15.97   13.50   14.01
2003 286    9.34   12.90   12.36   15.94   13.40   14.03
2003 287    9.40   12.73   12.22   15.86   13.22   13.80
2003 288    9.34   12.48   11.93   15.64   12.78   13.32
2003 289    9.14   12.35   11.69   15.35   12.29   12.98
2003 290    9.01   12.19   11.51   15.07   12.06   12.53
2003 291    8.96   12.11   11.43   14.78   11.91   12.04
2003 292    8.87   12.06   11.25   14.54   11.63   11.72
2003 293    8.79   12.02   11.04   14.44   11.45   11.66
2003 294    8.71   11.96   10.76   14.31   11.25   11.65
2003 295    8.58   11.87   10.44   14.10   10.94   11.53
2003 296    8.48   11.73   10.16   13.81   10.56   11.18
2003 297    8.38   11.59    9.87   13.55   10.29   10.84
2003 298    8.32   11.55    9.84   13.47   10.24   10.69
2003 299    8.31   11.48    9.79   13.32   10.11   10.49
2003 300    8.24   11.38    9.74   13.05    9.96   10.27
2003 301    8.16   11.05    9.65   12.74    9.90    9.98
2003 302    8.02   10.74    9.61   12.50    9.95    9.76
2003 303    7.84   10.44    9.59   12.40   10.00    9.80
2003 304    7.61   10.19    9.46   12.41   10.02    9.87
2003 305    7.45   10.09    9.33   12.43    9.96    9.96
2003 306    6.91    9.95    9.17   12.46    9.84   10.14
